order_id,window_id,asset,ts_utc,ticker,side,spot,strike,resolution_price,seconds_to_close,distance,min_distance_threshold,bid,limit_or_market,price_cents,placed,filled,fill_price,final_outcome,pnl_cents,is_stop_loss,stop_loss_sell_price,skip_reason,skip_details,is_filled,spot_kraken,spot_coinbase,distance_kraken,distance_coinbase,min_dist_after_placement,min_bid_after_placement,post_placement_history,pre_placement_history
agg:KXBTC15M-26MAR060445:btc,KXBTC15M-26MAR060445,btc,2026-03-06T09:45:00.848049+00:00,KXBTC15M-26MAR060445-45,yes,70549.5,2026.0,,,,,,,,0,0,,,,0,,aggregated_skips,No skip history (window not entered or all ticks returned early e.g. stale oracle),0,70549.5,,,,,,,
agg:KXETH15M-26MAR060445:eth,KXETH15M-26MAR060445,eth,2026-03-06T09:45:00.986092+00:00,KXETH15M-26MAR060445-45,yes,2055.23,2026.0,,,,,,,,0,0,,,,0,,aggregated_skips,No skip history (window not entered or all ticks returned early e.g. stale oracle),0,2055.23,,,,,,,
agg:KXSOL15M-26MAR060445:sol,KXSOL15M-26MAR060445,sol,2026-03-06T09:45:01.122361+00:00,KXSOL15M-26MAR060445-45,yes,87.44,2026.0,,,,,,,,0,0,,,,0,,aggregated_skips,No skip history (window not entered or all ticks returned early e.g. stale oracle),0,87.44,,,,,,,
agg:KXXRP15M-26MAR060445:xrp,KXXRP15M-26MAR060445,xrp,2026-03-06T09:45:01.280610+00:00,KXXRP15M-26MAR060445-45,yes,1.39482,2026.0,,,,,,,,0,0,,,,0,,aggregated_skips,No skip history (window not entered or all ticks returned early e.g. stale oracle),0,1.39482,,,,,,,
agg:KXBTC15M-26MAR060500:btc,KXBTC15M-26MAR060500,btc,2026-03-06T10:00:00.666048+00:00,KXBTC15M-26MAR060500-00,yes,70570.9,2026.0,,,,,,,,0,0,,,,0,,aggregated_skips,No skip history (window not entered or all ticks returned early e.g. stale oracle),0,70570.9,,,,,,,
agg:KXETH15M-26MAR060500:eth,KXETH15M-26MAR060500,eth,2026-03-06T10:00:01.353182+00:00,KXETH15M-26MAR060500-00,yes,2060.19,2026.0,,,,,,,,0,0,,,,0,,aggregated_skips,No skip history (window not entered or all ticks returned early e.g. stale oracle),0,2060.19,,,,,,,
agg:KXSOL15M-26MAR060500:sol,KXSOL15M-26MAR060500,sol,2026-03-06T10:00:02.131876+00:00,KXSOL15M-26MAR060500-00,yes,87.48,2026.0,,,,,,,,0,0,,,,0,,aggregated_skips,No skip history (window not entered or all ticks returned early e.g. stale oracle),0,87.48,,,,,,,
agg:KXXRP15M-26MAR060500:xrp,KXXRP15M-26MAR060500,xrp,2026-03-06T10:00:02.642420+00:00,KXXRP15M-26MAR060500-00,yes,1.39798,1.3948,,,,,,,,0,0,,,,0,,aggregated_skips,No skip history (window not entered or all ticks returned early e.g. stale oracle),0,1.39798,,,,,,,
agg:KXBTC15M-26MAR060515:btc,KXBTC15M-26MAR060515,btc,2026-03-06T10:15:00.525621+00:00,KXBTC15M-26MAR060515-15,yes,70652.4,70572.18,,,,,,,,0,0,,,,0,,aggregated_skips,No skip history (window not entered or all ticks returned early e.g. stale oracle),0,70652.4,,,,,,,
agg:KXETH15M-26MAR060515:eth,KXETH15M-26MAR060515,eth,2026-03-06T10:15:00.812436+00:00,KXETH15M-26MAR060515-15,yes,2063.19,2026.0,,,,,,,,0,0,,,,0,,aggregated_skips,No skip history (window not entered or all ticks returned early e.g. stale oracle),0,2063.19,,,,,,,
