id,window_id,asset,placed,seconds_to_close,bid,distance,reason,pre_data,timestamp
276,fifteen_min_KXBTC15M-26MAR081915,btc,0,6.0,0,71.304999999993,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66312.1, ""spot_coinbase"": 66302.305, ""distance_kraken"": 81.10000000000582, ""distance_coinbase"": 71.30499999999302}",1773011695.33216
277,fifteen_min_KXETH15M-26MAR081915,eth,0,5.0,0,5.55499999999984,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1948.51, ""spot_coinbase"": 1948.245, ""distance_kraken"": 5.819999999999936, ""distance_coinbase"": 5.554999999999836}",1773011696.27677
278,fifteen_min_KXSOL15M-26MAR081915,sol,0,4.0,0,0.160199999999989,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 82.13, ""spot_coinbase"": 82.115, ""distance_kraken"": 0.1751999999999896, ""distance_coinbase"": 0.16019999999998902}",1773011697.56885
279,fifteen_min_KXXRP15M-26MAR081915,xrp,0,3.0,0,0.00285000000000002,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34822, ""spot_coinbase"": 1.34815, ""distance_kraken"": 0.0029200000000000337, ""distance_coinbase"": 0.002850000000000019}",1773011698.67859
280,fifteen_min_KXBTC15M-26MAR081915,btc,0,1.0,0,78.9949999999953,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66312.1, ""spot_coinbase"": 66309.995, ""distance_kraken"": 81.10000000000582, ""distance_coinbase"": 78.99499999999534}",1773011700.60804
281,fifteen_min_KXSOL15M-26MAR081930,sol,0,85.0,83,0.0474999999999994,low_distance,"{""quote"": {""yes_bid"": 14, ""yes_ask"": 17, ""no_bid"": 83, ""no_ask"": 86}, ""spot_kraken"": 82.05, ""spot_coinbase"": 82.145, ""distance_kraken"": 0.0782999999999987, ""distance_coinbase"": 0.01670000000000016}",1773012516.43523
282,fifteen_min_KXXRP15M-26MAR081930,xrp,0,84.0,96,0.00164000000000009,low_distance,"{""quote"": {""yes_bid"": 3, ""yes_ask"": 4, ""no_bid"": 96, ""no_ask"": 97}, ""spot_kraken"": 1.34612, ""spot_coinbase"": 1.347, ""distance_kraken"": 0.002080000000000082, ""distance_coinbase"": 0.0012000000000000899}",1773012517.43618
283,fifteen_min_KXBTC15M-26MAR081930,btc,0,82.0,0,110.547499999993,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66422.0, ""spot_coinbase"": 66425.915, ""distance_kraken"": 108.58999999999651, ""distance_coinbase"": 112.5049999999901}",1773012519.40329
284,fifteen_min_KXETH15M-26MAR081930,eth,0,81.0,2,2.03250000000014,low_distance,"{""quote"": {""yes_bid"": 96, ""yes_ask"": 98, ""no_bid"": 2, ""no_ask"": 4}, ""spot_kraken"": 1950.49, ""spot_coinbase"": 1950.255, ""distance_kraken"": 2.150000000000091, ""distance_coinbase"": 1.915000000000191}",1773012520.46915
285,fifteen_min_KXSOL15M-26MAR081930,sol,0,80.0,67,0.0683000000000007,low_distance,"{""quote"": {""yes_bid"": 31, ""yes_ask"": 33, ""no_bid"": 67, ""no_ask"": 69}, ""spot_kraken"": 82.05, ""spot_coinbase"": 82.07, ""distance_kraken"": 0.0782999999999987, ""distance_coinbase"": 0.05830000000000268}",1773012521.1701
286,fifteen_min_KXXRP15M-26MAR081930,xrp,0,79.0,80,0.00211500000000009,low_distance,"{""quote"": {""yes_bid"": 8, ""yes_ask"": 20, ""no_bid"": 80, ""no_ask"": 92}, ""spot_kraken"": 1.34612, ""spot_coinbase"": 1.34605, ""distance_kraken"": 0.002080000000000082, ""distance_coinbase"": 0.0021500000000000963}",1773012522.35558
287,fifteen_min_KXBTC15M-26MAR081930,btc,0,77.0,0,125.384999999995,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66451.9, ""spot_coinbase"": 66425.69, ""distance_kraken"": 138.4899999999907, ""distance_coinbase"": 112.27999999999884}",1773012524.31676
288,fifteen_min_KXETH15M-26MAR081930,eth,0,76.0,2,2.03250000000014,low_distance,"{""quote"": {""yes_bid"": 96, ""yes_ask"": 98, ""no_bid"": 2, ""no_ask"": 4}, ""spot_kraken"": 1950.49, ""spot_coinbase"": 1950.255, ""distance_kraken"": 2.150000000000091, ""distance_coinbase"": 1.915000000000191}",1773012525.30612
289,fifteen_min_KXSOL15M-26MAR081930,sol,0,75.0,64,0.0732999999999961,low_distance,"{""quote"": {""yes_bid"": 34, ""yes_ask"": 36, ""no_bid"": 64, ""no_ask"": 66}, ""spot_kraken"": 82.05, ""spot_coinbase"": 82.06, ""distance_kraken"": 0.0782999999999987, ""distance_coinbase"": 0.06829999999999359}",1773012526.05403
290,fifteen_min_KXXRP15M-26MAR081930,xrp,0,74.0,82,0.00200000000000011,low_distance,"{""quote"": {""yes_bid"": 7, ""yes_ask"": 18, ""no_bid"": 82, ""no_ask"": 93}, ""spot_kraken"": 1.34655, ""spot_coinbase"": 1.34585, ""distance_kraken"": 0.0016500000000001513, ""distance_coinbase"": 0.0023500000000000743}",1773012527.29367
291,fifteen_min_KXBTC15M-26MAR081930,btc,0,72.0,0,125.384999999995,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66451.9, ""spot_coinbase"": 66425.69, ""distance_kraken"": 138.4899999999907, ""distance_coinbase"": 112.27999999999884}",1773012529.11812
292,fifteen_min_KXETH15M-26MAR081930,eth,0,71.0,3,1.88250000000005,low_distance,"{""quote"": {""yes_bid"": 96, ""yes_ask"": 97, ""no_bid"": 3, ""no_ask"": 4}, ""spot_kraken"": 1950.49, ""spot_coinbase"": 1949.955, ""distance_kraken"": 2.150000000000091, ""distance_coinbase"": 1.615000000000009}",1773012529.96899
293,fifteen_min_KXSOL15M-26MAR081930,sol,0,71.0,74,0.043299999999995,low_distance,"{""quote"": {""yes_bid"": 22, ""yes_ask"": 26, ""no_bid"": 74, ""no_ask"": 78}, ""spot_kraken"": 82.11, ""spot_coinbase"": 82.06, ""distance_kraken"": 0.01829999999999643, ""distance_coinbase"": 0.06829999999999359}",1773012530.75947
294,fifteen_min_KXXRP15M-26MAR081930,xrp,0,70.0,95,0.00200000000000011,low_distance,"{""quote"": {""yes_bid"": 3, ""yes_ask"": 5, ""no_bid"": 95, ""no_ask"": 97}, ""spot_kraken"": 1.34655, ""spot_coinbase"": 1.34585, ""distance_kraken"": 0.0016500000000001513, ""distance_coinbase"": 0.0023500000000000743}",1773012531.77755
