order_id,window_id,asset,ts_utc,ticker,side,spot,strike,resolution_price,seconds_to_close,distance,min_distance_threshold,bid,limit_or_market,price_cents,placed,filled,fill_price,final_outcome,pnl_cents,is_stop_loss,stop_loss_sell_price,skip_reason,skip_details,is_filled
3b844e18-e88d-4e6c-9d3f-d19c73e81a99,KXSOL15M-26MAR022000,sol,2026-03-03T00:59:01.640130+00:00,KXSOL15M-26MAR022000-00,no,86.86,87.2392,,59.023267,0.3791999999999973,0.1,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [0.4491999999999905, 0.3791999999999973, 0.3791999999999973] | Primary blocker: waiting_for_dip",0
447e22c4-4071-4864-97df-037ea57012e2,KXBTC15M-26MAR022000,btc,2026-03-03T00:59:01.730981+00:00,KXBTC15M-26MAR022000-00,no,69012.9,69121.89,,59.02438,108.99000000000524,35.0,99,limit,99,1,10,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [108.88999999999942, 108.88999999999942, 108.99000000000524] | Primary blocker: waiting_for_dip",0
3adebcbb-5a43-462a-b501-30d652d1ec4c,KXXRP15M-26MAR022000,xrp,2026-03-03T00:59:01.813063+00:00,KXXRP15M-26MAR022000-00,no,1.39043,1.3937,,59.02268,0.003269999999999884,0.003,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [0.0030200000000000227, 0.0030200000000000227, 0.003269999999999884] | Primary blocker: waiting_for_dip",0
439d47b5-d396-4a4e-8079-4bce2e3a6620,KXETH15M-26MAR022000,eth,2026-03-03T00:59:01.882978+00:00,KXETH15M-26MAR022000-00,no,2032.9,2037.0,,59.023812,4.099999999999909,2.5,99,limit,99,1,10,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [5.180000000000064, 5.180000000000064, 5.180000000000064] | Primary blocker: waiting_for_dip",0
a6e8e393-b3e2-417f-99a7-0cd77b2b8629,KXBTC15M-26MAR022000,btc,2026-03-03T00:59:18.972284+00:00,KXBTC15M-26MAR022000-00,no,69052.9,69121.89,,42.285528,68.99000000000524,21.0,98,market,99,1,10,99,,,0,,,"Pre-placement history: Checks: 6 | Bids: [99, 99, 99, 99, 99, 99] | Distances: [108.88999999999942, 88.88999999999942, 88.88999999999942, 88.88999999999942, 88.88999999999942, 88.88999999999942] | Primary blocker: limit_already_placed",0
d328e5b6-3c6c-4791-9424-abd6ec4c0374,KXBTC15M-26MAR022015,btc,2026-03-03T01:13:56.376172+00:00,KXBTC15M-26MAR022015-15,yes,69173.3,69085.23,,64.578665,88.07000000000698,35.0,98,market,99,1,10,99,,,0,,,,0
c7f8796c-58da-463b-8a61-3c9f84c0e78e,KXETH15M-26MAR022015,eth,2026-03-03T01:14:02.687338+00:00,KXETH15M-26MAR022015-15,yes,2039.06,2035.38,,58.176281,3.6799999999998363,2.5,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [3.6799999999998363, 3.6799999999998363, 3.6799999999998363] | Primary blocker: waiting_for_dip",0
be608085-b5d5-4811-a9b0-842f08713df0,KXXRP15M-26MAR022015,xrp,2026-03-03T01:14:07.545198+00:00,KXXRP15M-26MAR022015-15,yes,1.39401,1.3914,,53.38599,0.002610000000000001,0.0024000000000000002,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 5 | Bids: [99, 99, 99, 99, 99] | Distances: [0.002610000000000001, 0.002610000000000001, 0.002610000000000001, 0.002610000000000001, 0.002610000000000001] | Primary blocker: waiting_for_dip",0
0ce028fe-3480-4418-bb70-73223216e8df,KXSOL15M-26MAR022015,sol,2026-03-03T01:14:07.624984+00:00,KXSOL15M-26MAR022015-15,yes,87.03,86.9465,,53.386329,0.0835000000000008,0.08000000000000002,99,limit,99,1,10,99,,,0,,,"Pre-placement history: Checks: 5 | Bids: [96, 97, 97, 99, 99] | Distances: [0.0835000000000008, 0.0835000000000008, 0.0835000000000008, 0.0835000000000008, 0.0835000000000008] | Primary blocker: distance_buffer",0
50f00b0e-d7a8-42c5-a815-349f1aae3018,KXBTC15M-26MAR022015,btc,2026-03-03T01:14:07.982603+00:00,KXBTC15M-26MAR022015-15,yes,69173.2,69085.23,,53.387088,87.97000000000116,28.0,99,limit,99,1,10,99,,,0,,,"Pre-placement history: Checks: 4 | Bids: [98, 98, 98, 98] | Distances: [88.07000000000698, 88.07000000000698, 88.07000000000698, 87.97000000000116] | Primary blocker: market_already_placed",0
1357fda7-d767-4a62-b41a-599a2babff2a,KXSOL15M-26MAR022015,sol,2026-03-03T01:14:18.050291+00:00,KXSOL15M-26MAR022015-15,yes,87.02,86.9465,,43.203293,0.07349999999999568,0.06,97,market,98,1,10,98,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 98] | Distances: [0.0835000000000008, 0.0835000000000008, 0.0835000000000008] | Primary blocker: limit_already_placed",0
11bffee1-7da3-4204-95aa-73e83f70cd0a,KXBTC15M-26MAR022030,btc,2026-03-03T01:29:01.176275+00:00,KXBTC15M-26MAR022030-30,no,68959.7,69157.24,,59.520091,197.54000000000815,35.0,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [197.54000000000815, 197.54000000000815, 197.54000000000815] | Primary blocker: waiting_for_dip",0
7f476907-72e5-442d-8344-29677b64450a,KXSOL15M-26MAR022030,sol,2026-03-03T01:29:01.193428+00:00,KXSOL15M-26MAR022030-30,no,86.7,87.01,,59.519591,0.3100000000000023,0.1,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [0.3100000000000023, 0.3100000000000023, 0.3100000000000023] | Primary blocker: waiting_for_dip",0
755d8bf0-e12a-4428-8384-f54bc0ae189b,KXXRP15M-26MAR022030,xrp,2026-03-03T01:29:01.296471+00:00,KXXRP15M-26MAR022030-30,no,1.38761,1.394,,59.51928,0.006389999999999896,0.003,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [0.006389999999999896, 0.006389999999999896, 0.006389999999999896] | Primary blocker: waiting_for_dip",0
2ec6c7e4-c5ae-4bf2-bc88-11c92ff5545d,KXETH15M-26MAR022030,eth,2026-03-03T01:29:01.382565+00:00,KXETH15M-26MAR022030-30,no,2031.61,2038.77,,59.519823,7.160000000000082,2.5,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [7.160000000000082, 7.160000000000082, 7.160000000000082] | Primary blocker: waiting_for_dip",0
3d6d0e03-ea50-444c-8a15-c85732e6aeda,KXBTC15M-26MAR022045,btc,2026-03-03T01:43:56.129179+00:00,KXBTC15M-26MAR022045-45,yes,68982.5,68917.62,,64.904089,64.88000000000466,35.0,98,market,99,1,10,99,,,0,,,,0
a5c20227-bdc1-4dbd-935a-48fe1532ba5b,KXBTC15M-26MAR022045,btc,2026-03-03T01:44:02.939825+00:00,KXBTC15M-26MAR022045-45,yes,69019.5,68917.62,,58.26378,101.88000000000466,35.0,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 2 | Bids: [99, 99] | Distances: [64.88000000000466, 81.88000000000466] | Primary blocker: waiting_for_dip",0
31d6fa2d-58fb-4b6d-bd77-293c24bfda83,KXXRP15M-26MAR022045,xrp,2026-03-03T01:44:09.291659+00:00,KXXRP15M-26MAR022045-45,yes,1.38942,1.387,,51.681333,0.0024200000000000887,0.0024000000000000002,99,limit,99,1,10,99,,,0,,,"Pre-placement history: Checks: 6 | Bids: [91, 99, 99, 99, 99, 99] | Distances: [0.0013000000000000789, 0.0013000000000000789, 0.0013000000000000789, 0.0013000000000000789, 0.0013000000000000789, 0.0013000000000000789] | Primary blocker: distance_buffer",0
94a027bc-cf91-480d-8efa-b526fdf649ff,KXETH15M-26MAR022045,eth,2026-03-03T01:44:16.091209+00:00,KXETH15M-26MAR022045-45,yes,2032.02,2030.4,,44.664174,1.6199999999998909,1.5,95,market,98,1,10,98,,,0,,,"Pre-placement history: Checks: 9 | Bids: [77, 41, 72, 87, 85, 76, 86, 87, 93] | Distances: [0.9600000000000364, 0.9600000000000364, 0.9600000000000364, 0.4600000000000364, 1.6199999999998909, 1.6199999999998909, 1.6199999999998909, 1.6199999999998909, 1.6199999999998909] | Primary blocker: min_bid",0
90defb01-18ae-4102-8b69-d793c2c8cbca,KXSOL15M-26MAR022045,sol,2026-03-03T01:44:16.172793+00:00,KXSOL15M-26MAR022045-45,yes,86.73,86.6567,,44.66387,0.07330000000000325,0.06,99,limit,99,1,10,99,,,0,,,"Pre-placement history: Checks: 9 | Bids: [71, 58, 58, 82, 73, 72, 87, 87, 92] | Distances: [0.05670000000000641, 0.05670000000000641, 0.05670000000000641, 0.033299999999997, 0.033299999999997, 0.07330000000000325, 0.07330000000000325, 0.07330000000000325, 0.07330000000000325] | Primary blocker: min_bid",0
a7556248-2a60-42fb-9218-d076935bf16f,KXSOL15M-26MAR022045,sol,2026-03-03T01:44:26.003448+00:00,KXSOL15M-26MAR022045-45,yes,86.72,86.6567,,35.287771,0.06329999999999814,0.06,93,market,99,1,10,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [87, 88, 90] | Distances: [0.033299999999997, 0.033299999999997, 0.033299999999997] | Primary blocker: min_bid",0
81bb59b2-761f-477e-b3d7-bd54fc6ad8c2,KXETH15M-26MAR022045,eth,2026-03-03T01:44:45.688046+00:00,KXETH15M-26MAR022045-45,yes,2030.98,2030.4,,15.705019999999998,0.5799999999999272,0.5,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 11 | Bids: [98, 84, 89, 90, 92, 98, 92, 92, 93, 93, 93] | Distances: [1.6199999999998909, 1.6199999999998909, 1.6199999999998909, 1.6199999999998909, 1.6199999999998909, 1.6199999999998909, 0.5799999999999272, 0.5799999999999272, 0.5799999999999272, 0.5799999999999272, 0.5799999999999272] | Primary blocker: market_already_placed",0
1d849e3e-280c-40fa-b8d9-af0aac27f78b,KXETH15M-26MAR022100,eth,2026-03-03T01:59:00.966797+00:00,KXETH15M-26MAR022100-00,no,2022.46,2031.37,,59.74033,8.909999999999854,2.5,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 2 | Bids: [99, 99] | Distances: [8.909999999999854, 8.909999999999854] | Primary blocker: waiting_for_dip",0
44fc7907-c31b-4771-b98d-7e0253d98ac8,KXXRP15M-26MAR022100,xrp,2026-03-03T01:59:00.983801+00:00,KXXRP15M-26MAR022100-00,no,1.38371,1.3894,,59.739228,0.005689999999999973,0.003,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 2 | Bids: [99, 99] | Distances: [0.004929999999999879, 0.005689999999999973] | Primary blocker: waiting_for_dip",0
