order_id,window_id,asset,ts_utc,ticker,side,spot,strike,resolution_price,seconds_to_close,distance,min_distance_threshold,bid,limit_or_market,price_cents,placed,filled,fill_price,final_outcome,pnl_cents,is_stop_loss,stop_loss_sell_price,skip_reason,skip_details,is_filled,spot_kraken,spot_coinbase,distance_kraken,distance_coinbase,min_dist_after_placement,min_bid_after_placement,post_placement_history,pre_placement_history
agg:KXBTC15M-26MAR052215:btc,KXBTC15M-26MAR052215,btc,2026-03-06T03:15:00.551751+00:00,,yes,71066.3,,,1.906155,0.0,,0,,,0,0,,,,0,,aggregated_skips,"Aggregated skips: Checks: 59 | Bids: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] | Distances: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0] | Primary blocker: no_market",0,71066.3,,0.0,,,,,"[{""sec"": 119.42, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 117.87, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 116.39, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 114.86, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 113.33, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 111.67, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 110.08, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 108.47, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 106.95, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 105.4, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 103.43, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 101.75, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 100.15, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 98.7, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 96.94, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 95.45, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 93.65, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 92.16, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 90.69, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 88.88, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 87.18, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 85.47, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 83.86, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 81.59, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 79.46, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 77.61, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 74.9, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 72.65, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 70.61, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 68.55, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 66.32, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 64.25, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 62.33, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 60.36, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 57.73, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 55.36, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 53.25, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 51.14, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 48.77, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 46.9, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 44.72, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 41.89, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 39.7, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 37.57, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 35.56, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 33.19, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 30.97, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 28.73, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 26.58, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 24.05, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 21.14, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 18.8, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 16.24, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 14.06, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 11.58, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 9.08, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 6.8, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 4.58, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 1.91, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}]"
589907cd-4303-4481-b972-626d78f29f8b,KXETH15M-26MAR052215,eth,2026-03-06T03:13:43.950600+00:00,KXETH15M-26MAR052215-15,no,2080.43,2083.8,,77.613929,3.3700000000003456,2.5,99,limit_fallback,99,1,0,99,,0,0,,,"Pre-placement history: Checks: 25 | Bids: [96, 96, 97, 98, 98, 96, 97, 97, 97, 97, 98, 99, 99, 99, 96, 96, 98, 98, 98, 96, 97, 97, 96, 98, 98] | Distances: [3.59, 3.59, 3.59, 3.59, 3.59, 3.59, 3.59, 3.62, 3.62, 3.62, 3.62, 3.62, 3.62, 3.62, 3.62, 3.62, 3.62, 3.62, 3.23, 3.23, 3.24, 3.24, 3.2400000000002365, 3.2400000000002365, 3.4600000000000364] | Primary blocker: outside_trading_window",0,2080.43,2080.24,3.3700000000003456,3.5600000000004,,,,"[{""sec"": 119.42, ""dist_krak"": 3.59, ""dist_cb"": 2.79, ""bid"": 96, ""ask"": 97}, {""sec"": 117.86, ""dist_krak"": 3.59, ""dist_cb"": 2.79, ""bid"": 96, ""ask"": 97}, {""sec"": 116.39, ""dist_krak"": 3.59, ""dist_cb"": 2.79, ""bid"": 97, ""ask"": 98}, {""sec"": 114.85, ""dist_krak"": 3.59, ""dist_cb"": 0.585, ""bid"": 98, ""ask"": 99}, {""sec"": 113.33, ""dist_krak"": 3.59, ""dist_cb"": 0.585, ""bid"": 98, ""ask"": 99}, {""sec"": 111.67, ""dist_krak"": 3.59, ""dist_cb"": 2.79, ""bid"": 96, ""ask"": 99}, {""sec"": 110.07, ""dist_krak"": 3.59, ""dist_cb"": 0.585, ""bid"": 97, ""ask"": 98}, {""sec"": 108.46, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 97, ""ask"": 99}, {""sec"": 106.95, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 97, ""ask"": 98}, {""sec"": 105.4, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 97, ""ask"": 0}, {""sec"": 103.42, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 98, ""ask"": 99}, {""sec"": 101.74, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 99, ""ask"": 0}, {""sec"": 100.15, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 99, ""ask"": 0}, {""sec"": 98.7, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 99, ""ask"": 0}, {""sec"": 96.92, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 96, ""ask"": 98}, {""sec"": 95.45, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 96, ""ask"": 98}, {""sec"": 93.65, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 98, ""ask"": 0}, {""sec"": 92.16, ""dist_krak"": 3.62, ""dist_cb"": 3.56, ""bid"": 98, ""ask"": 99}, {""sec"": 90.68, ""dist_krak"": 3.23, ""dist_cb"": 3.56, ""bid"": 98, ""ask"": 0}, {""sec"": 88.87, ""dist_krak"": 3.23, ""dist_cb"": 3.56, ""bid"": 96, ""ask"": 99}, {""sec"": 87.18, ""dist_krak"": 3.24, ""dist_cb"": 3.56, ""bid"": 97, ""ask"": 98}, {""sec"": 85.47, ""dist_krak"": 3.24, ""dist_cb"": 3.56, ""bid"": 97, ""ask"": 99}, {""sec"": 83.85, ""dist_krak"": 3.24, ""dist_cb"": 3.56, ""bid"": 96, ""ask"": 0}, {""sec"": 81.58, ""dist_krak"": 3.24, ""dist_cb"": 3.56, ""bid"": 98, ""ask"": 0}, {""sec"": 79.46, ""dist_krak"": 3.46, ""dist_cb"": 3.56, ""bid"": 98, ""ask"": 0}, {""sec"": 77.61, ""dist_krak"": 3.37, ""dist_cb"": 3.56, ""bid"": 99, ""ask"": 0}]"
ef377e17-8a2d-404b-919e-53d5c4b1cb57,KXSOL15M-26MAR052215,sol,2026-03-06T03:14:16.730317+00:00,KXSOL15M-26MAR052215-15,no,88.285,88.389,,44.710012,0.1039999999999992,0.09,99,limit_fallback,99,1,0,99,,0,0,,,"Pre-placement history: Checks: 40 | Bids: [83, 82, 93, 93, 90, 89, 89, 89, 89, 88, 90, 88, 88, 89, 89, 87, 84, 83, 83, 82, 84, 83, 82, 82, 90, 82, 82, 84, 87, 90, 95, 96, 97, 99, 99, 99, 99, 99, 99, 99] | Distances: [0.011, 0.011, 0.011, 0.011, 0.011, 0.129, 0.129, 0.129, 0.129, 0.119, 0.119, 0.109, 0.109, 0.109, 0.109, 0.109, 0.109, 0.109, 0.109, 0.109, 0.109, 0.109, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992, 0.1039999999999992] | Primary blocker: outside_trading_window",0,88.26,88.285,0.12899999999999068,0.1039999999999992,,,,"[{""sec"": 119.41, ""dist_krak"": 0.011, ""dist_cb"": 0.016, ""bid"": 83, ""ask"": 84}, {""sec"": 117.85, ""dist_krak"": 0.011, ""dist_cb"": 0.006, ""bid"": 82, ""ask"": 84}, {""sec"": 116.38, ""dist_krak"": 0.011, ""dist_cb"": 0.029, ""bid"": 93, ""ask"": 94}, {""sec"": 114.84, ""dist_krak"": 0.011, ""dist_cb"": 0.029, ""bid"": 93, ""ask"": 95}, {""sec"": 113.31, ""dist_krak"": 0.011, ""dist_cb"": 0.029, ""bid"": 90, ""ask"": 93}, {""sec"": 111.65, ""dist_krak"": 0.129, ""dist_cb"": 0.029, ""bid"": 89, ""ask"": 91}, {""sec"": 110.06, ""dist_krak"": 0.129, ""dist_cb"": 0.104, ""bid"": 89, ""ask"": 91}, {""sec"": 108.45, ""dist_krak"": 0.129, ""dist_cb"": 0.104, ""bid"": 89, ""ask"": 91}, {""sec"": 106.94, ""dist_krak"": 0.129, ""dist_cb"": 0.104, ""bid"": 89, ""ask"": 90}, {""sec"": 105.39, ""dist_krak"": 0.119, ""dist_cb"": 0.104, ""bid"": 88, ""ask"": 90}, {""sec"": 103.42, ""dist_krak"": 0.119, ""dist_cb"": 0.104, ""bid"": 90, ""ask"": 91}, {""sec"": 101.74, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 88, ""ask"": 90}, {""sec"": 100.14, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 88, ""ask"": 90}, {""sec"": 98.69, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 89, ""ask"": 91}, {""sec"": 96.91, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 89, ""ask"": 91}, {""sec"": 95.44, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 87, ""ask"": 88}, {""sec"": 93.64, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 84, ""ask"": 86}, {""sec"": 92.14, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 83, ""ask"": 86}, {""sec"": 90.67, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 83, ""ask"": 86}, {""sec"": 88.87, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 82, ""ask"": 83}, {""sec"": 87.17, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 84, ""ask"": 85}, {""sec"": 85.45, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 83, ""ask"": 84}, {""sec"": 83.85, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 82, ""ask"": 88}, {""sec"": 81.58, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 82, ""ask"": 85}, {""sec"": 79.45, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 90, ""ask"": 92}, {""sec"": 77.6, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 82, ""ask"": 84}, {""sec"": 74.88, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 82, ""ask"": 84}, {""sec"": 72.64, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 84, ""ask"": 85}, {""sec"": 70.6, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 87, ""ask"": 88}, {""sec"": 68.54, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 90, ""ask"": 91}, {""sec"": 66.31, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 95, ""ask"": 97}, {""sec"": 64.24, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 96, ""ask"": 98}, {""sec"": 62.31, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 97, ""ask"": 98}, {""sec"": 60.34, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 99, ""ask"": 0}, {""sec"": 57.72, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 99, ""ask"": 0}, {""sec"": 55.34, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 99, ""ask"": 0}, {""sec"": 53.24, ""dist_krak"": 0.109, ""dist_cb"": 0.104, ""bid"": 99, ""ask"": 0}, {""sec"": 51.12, ""dist_krak"": 0.129, ""dist_cb"": 0.104, ""bid"": 99, ""ask"": 0}, {""sec"": 48.76, ""dist_krak"": 0.129, ""dist_cb"": 0.104, ""bid"": 99, ""ask"": 0}, {""sec"": 46.89, ""dist_krak"": 0.129, ""dist_cb"": 0.104, ""bid"": 99, ""ask"": 0}, {""sec"": 44.71, ""dist_krak"": 0.129, ""dist_cb"": 0.104, ""bid"": 99, ""ask"": 0}]"
agg:KXXRP15M-26MAR052215:xrp,KXXRP15M-26MAR052215,xrp,2026-03-06T03:15:01.266669+00:00,,yes,1.40435,,,1.8873259999999998,0.0,,0,,,0,0,,,,0,,aggregated_skips,"Aggregated skips: Checks: 59 | Bids: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] | Distances: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0] | Primary blocker: no_market",0,1.40435,,0.0,,,,,"[{""sec"": 119.4, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 117.85, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 116.36, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 114.84, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 113.3, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 111.65, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 110.05, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 108.45, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 106.93, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 105.39, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 103.4, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 101.72, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 100.14, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 98.68, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 96.91, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 95.44, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 93.64, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 92.13, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 90.67, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 88.85, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 87.15, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 85.44, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 83.84, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 81.57, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 79.44, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 77.59, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 74.88, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 72.64, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 70.6, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 68.53, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 66.31, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 64.23, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 62.31, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 60.34, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 57.71, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 55.33, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 53.22, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 51.12, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 48.75, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 46.88, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 44.69, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 41.87, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 39.68, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 37.54, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 35.54, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 33.16, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 30.96, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 28.71, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 26.56, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 24.02, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 21.12, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 18.78, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 16.22, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 14.04, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 11.56, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 9.06, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 6.78, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 4.56, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}, {""sec"": 1.89, ""dist_krak"": null, ""dist_cb"": null, ""bid"": 0, ""ask"": 0}]"
